,AUS_st,AUS_young,AUS_working,AUS_elderly
0,0,30.205,91.48400000000001,99.99900000000001
1,0,30.31,91.486,99.99900000000001
2,0,30.049,91.46199999999999,99.99999999999999
3,0,29.917,91.445,99.999
4,0,29.818,91.475,100.0
5,0,29.627,91.479,99.999
6,0,29.482,91.497,100.0
7,0,29.284,91.52799999999999,100.0
8,0,29.033,91.55600000000001,100.00000000000001
9,0,28.921,91.62700000000001,99.99900000000001
10,0,28.828000000000007,91.65400000000001,99.99900000000001
11,0,28.677,91.655,99.999
12,0,28.509,91.594,100.0
13,0,28.233,91.493,99.999
14,0,27.868,91.392,99.999
15,0,27.493,91.279,100.0
16,0,26.987,91.07199999999999,99.99999999999999
17,0,26.519,90.92699999999999,99.999
18,0,26.067,90.75899999999999,99.99899999999998
19,0,25.617,90.56400000000001,100.0
20,0,25.253,90.38199999999999,99.999
21,0,24.965,90.25,100.0
22,0,24.664,90.129,100.0
23,0,24.368,90.023,100.0
24,0,23.979,89.898,100.0
25,0,23.597,89.732,99.999
26,0,23.095,89.498,99.99900000000001
27,0,22.672,89.30499999999999,99.999
28,0,22.375,89.164,100.0
29,0,22.153,89.018,100.0
30,0,22.004,88.90500000000002,100.00000000000001
31,0,21.902,88.71300000000001,99.99900000000001
32,0,21.816,88.54700000000001,100.00000000000001
33,0,21.726,88.36,100.0
34,0,21.627,88.20599999999999,99.999
35,0,21.525,88.096,100.0
36,0,21.37,87.971,100.0
37,0,21.215,87.857,99.999
38,0,21.048,87.754,99.99900000000001
39,0,20.891,87.65899999999999,99.99999999999999
40,0,20.723000000000006,87.57500000000002,100.00000000000001
41,0,20.546,87.44900000000001,99.99900000000001
42,0,20.336,87.352,100.01100000000001
43,0,20.129,87.26500000000001,100.01200000000001
44,0,19.938,87.16199999999999,100.01199999999999
45,0,19.742,87.054,100.013
46,0,19.571,86.973,100.0
47,0,19.43,86.86000000000001,99.99900000000001
48,0,19.299,86.798,99.999
49,0,19.169,86.67399999999999,100.0
50,0,19.057,86.44300000000001,99.99900000000001
51,0,18.951,86.17699999999999,99.999
52,0,18.932,85.86200000000001,99.99900000000001
53,0,18.929,85.60000000000001,100.00000000000001
54,0,18.912,85.33699999999999,99.99999999999999
55,0,18.893,85.07600000000001,100.0
56,0,18.902,84.819,99.999
57,0,18.857,84.591,100.0
58,0,18.815,84.336,99.999
