,AUT_st,AUT_young,AUT_working,AUT_elderly
0,0,22.043000000000006,87.77600000000001,100.00000000000001
1,0,22.43,87.58500000000001,100.0
2,0,22.663,87.392,99.999
3,0,22.838,87.225,100.0
4,0,23.082,87.02199999999999,99.999
5,0,23.355,86.821,99.999
6,0,23.619,86.62700000000001,100.00000000000001
7,0,23.864,86.424,99.99900000000001
8,0,24.095,86.241,100.0
9,0,24.286,86.072,100.0
10,0,24.364,85.924,100.0
11,0,24.317,85.785,99.999
12,0,24.16,85.655,99.999
13,0,23.898000000000003,85.525,99.99900000000001
14,0,23.59,85.346,99.99900000000001
15,0,23.232,85.12899999999999,99.99999999999999
16,0,22.749,84.959,99.999
17,0,22.173,84.80799999999999,100.0
18,0,21.565,84.659,100.0
19,0,20.956,84.548,100.0
20,0,20.417,84.595,99.999
21,0,19.972,84.887,99.999
22,0,19.545,85.264,100.0
23,0,19.089,85.62599999999999,99.99999999999999
24,0,18.651,85.835,99.999
25,0,18.292,85.805,100.0
26,0,18.003,85.651,99.999
27,0,17.775,85.44800000000001,99.99900000000001
28,0,17.639,85.25699999999999,99.99999999999999
29,0,17.564,85.132,100.0
30,0,17.524,85.065,99.999
31,0,17.573,85.05600000000001,100.00000000000001
32,0,17.691,85.086,100.0
33,0,17.785999999999994,85.07299999999998,99.99899999999998
34,0,17.829,84.988,99.999
35,0,17.813,84.87100000000001,99.99900000000001
36,0,17.726,84.768,99.999
37,0,17.576,84.684,99.999
38,0,17.406,84.618,100.0
39,0,17.234,84.589,100.0
40,0,17.044,84.574,100.0
41,0,16.817,84.536,99.999
42,0,16.617,84.536,100.0
43,0,16.433,84.55600000000001,100.00000000000001
44,0,16.234,84.28900000000002,100.00000000000001
45,0,16.021,83.777,100.0
46,0,15.774,83.33500000000001,100.0
47,0,15.508,82.974,100.0
48,0,15.252,82.737,99.999
49,0,15.017,82.473,99.999
50,0,14.822,82.327,99.999
51,0,14.653,82.31,100.0
52,0,14.486,82.053,100.0
53,0,14.37,81.809,99.999
54,0,14.3,81.6,99.999
55,0,14.284,81.523,100.0
56,0,14.362,81.505,100.0
57,0,14.418,81.4,99.99900000000001
58,0,14.431,81.24,99.999
