,LUX_st,LUX_young,LUX_working,LUX_elderly
0,0,21.182,89.175,99.999
1,0,21.486,89.03,99.999
2,0,21.77,88.89699999999999,99.999
3,0,22.012,88.764,99.999
4,0,22.189,88.625,100.0
5,0,22.292,88.47800000000001,99.99900000000001
6,0,22.419,88.25,100.0
7,0,22.477,88.03200000000001,100.00000000000001
8,0,22.456,87.821,99.999
9,0,22.36,87.622,100.0
10,0,22.113000000000003,87.694,100.229
11,0,21.918000000000006,87.36800000000001,99.99900000000001
12,0,21.516,87.24700000000001,100.00000000000001
13,0,21.045,87.10300000000001,99.99900000000001
14,0,20.49,87.03099999999999,99.999
15,0,19.984,86.975,100.0
16,0,19.573,86.89500000000001,99.99900000000001
17,0,19.158,86.73400000000001,100.0
18,0,18.734,86.536,99.999
19,0,18.745,86.403,100.0
20,0,18.766,86.35400000000001,99.99900000000001
21,0,18.433,86.416,100.0
22,0,18.121,86.53099999999999,99.999
23,0,17.775,86.66399999999999,99.999
24,0,17.46,86.767,99.999
25,0,17.2,86.751,100.0
26,0,16.999000000000002,86.689,100.0
27,0,16.910999999999998,86.67,99.999
28,0,16.989,86.629,100.0
29,0,17.162,86.6,100.0
30,0,17.352999999999998,86.579,99.999
31,0,17.567,86.507,100.0
32,0,17.785999999999994,86.41,99.999
33,0,18.023,86.29599999999999,100.0
34,0,18.242,86.154,100.0
35,0,18.41,85.993,99.999
36,0,18.529,85.84599999999999,99.999
37,0,18.648,85.76299999999999,99.999
38,0,18.767,85.72699999999999,99.999
39,0,18.877,85.718,100.0
40,0,18.933,85.922,99.999
41,0,18.92,86.086,99.999
42,0,18.873,86.01400000000001,100.00000000000001
43,0,18.779,85.993,100.0
44,0,18.664,85.965,100.0
45,0,18.524,85.923,99.999
46,0,18.385,85.94800000000001,100.0
47,0,18.239,85.98700000000001,100.00000000000001
48,0,18.051,86.024,100.0
49,0,17.85,86.04499999999999,99.99999999999999
50,0,17.669,86.08,99.999
51,0,17.365,86.076,100.0
52,0,17.065,86.033,100.0
53,0,16.912,85.97300000000001,99.99900000000001
54,0,16.744,85.87,100.0
55,0,16.559,85.797,99.999
56,0,16.352,85.76700000000001,100.00000000000001
57,0,16.186,85.71700000000001,99.99900000000001
58,0,16.098,85.645,99.999
